;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B? GIÁO D?C VÀ ?ÀO T?O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TR??NG TI?U H?C ?? V?N N?I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C?p h?c: Ti?u h?c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N?m h?c: 2025-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ngày: 23-02-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B?NG PHÂN PH?I CH??NG TRÌNH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Môn Khoa h?c, Phân môn Chính, L?p 5/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STT;Tu?n;Ti?t PPCT;Tên bài h?c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;Bài 1: Thành ph?n và vai trò c?a ??t ??i v?i cây tr?ng (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;2;Bài 1: Thành ph?n và vai trò c?a ??t ??i v?i cây tr?ng (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2;3;Bài 2: Ô nhi?m, xói mòn ??t và b?o v? môi tr??ng ??t (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2;4;Bài 2: Ô nhi?m, xói mòn ??t và b?o v? môi tr??ng ??t (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;3;5;Bài 2: Ô nhi?m, xói mòn ??t và b?o v? môi tr??ng ??t (ti?t 3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;3;6;Bài 3: H?n h?p và dung d?ch (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4;7;Bài 3: H?n h?p và dung d?ch (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4;8;Bài 4: ??c ?i?m c?a ch?t ? tr?ng thái r?n, l?ng, khí. s? bi?n ??i tr?ng thái c?a ch?t (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;5;9;Bài 4: ??c ?i?m c?a ch?t ? tr?ng thái r?n, l?ng, khí. s? bi?n ??i tr?ng thái c?a ch?t (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;5;10;Bài 5: S? bi?n ??i hoá h?c c?a ch?t (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;6;11;Bài 5: S? bi?n ??i hoá h?c c?a ch?t (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;6;12;Bài 6: Ôn t?p ch? ?? ch?t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;7;13;Bài 7: Vai trò c?a n?ng l??ng (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;7;14;Bài 7: Vai trò c?a n?ng l??ng (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;8;15;Bài 8: S? d?ng n?ng l??ng ?i?n (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;8;16;Bài 8: S? d?ng n?ng l??ng ?i?n (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;9;17;Bài 9: M?ch ?i?n ??n gi?n. v?t d?n ?i?n và v?t cách ?i?n (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;9;18;Ôn t?p gi?a hk1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;10;19;Bài 9: M?ch ?i?n ??n gi?n. v?t d?n ?i?n và v?t cách ?i?n (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;10;20;Bài 10: N?ng l??ng ch?t ??t (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;11;21;Bài 10: N?ng l??ng ch?t ??t (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;11;22;Bài 11: S? d?ng n?ng l??ng m?t tr?i, n?ng l??ng gió, n?ng l??ng n??c ch?y (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;12;23;Bài 11: S? d?ng n?ng l??ng m?t tr?i, n?ng l??ng gió, n?ng l??ng n??c ch?y (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;12;24;Bài 11: S? d?ng n?ng l??ng m?t tr?i, n?ng l??ng gió, n?ng l??ng n??c ch?y (ti?t 3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;13;25;Bài 12: Ôn t?p ch? ?? n?ng l??ng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;13;26;Bài 13: Sinh s?n c?a th?c v?t có hoa (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;14;27;Bài 13: Sinh s?n c?a th?c v?t có hoa (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;14;28;Bài 14: S? phát tri?n c?a cây con (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;15;29;Bài 14: S? phát tri?n c?a cây con (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;15;30;Bài 14: S? phát tri?n c?a cây con (ti?t 3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;16;31;Bài 15: Sinh s?n c?a ??ng v?t (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;16;32;Bài 15: Sinh s?n c?a ??ng v?t (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;17;33;Bài 16: Vòng ??i và s? phát tri?n c?a ??ng v?t (ti?t 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;17;34;Bài 16: Vòng ??i và s? phát tri?n c?a ??ng v?t (ti?t 2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
