Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
BỘ GIÁO DỤC VÀ ĐÀO TẠO,,,
TRƯỜNG TIỂU HỌC ĐỖ VĂN NẠI,,,
Cấp học: Tiểu học,,,
Năm học: 2025-2026,,,
Ngày: 23-02-2026,,,
BẢNG PHÂN PHỐI CHƯƠNG TRÌNH,,,
"Môn Khoa học, Phân môn Chính, Lớp 5/4",,,
STT,Tuần,Tiết PPCT,Tên bài học
1,1,1,Bài 1: Thành phần và vai trò của đất đối với cây trồng (tiết 1)
2,1,2,Bài 1: Thành phần và vai trò của đất đối với cây trồng (tiết 2)
3,2,3,"Bài 2: Ô nhiễm, xói mòn đất và bảo vệ môi trường đất (tiết 1)"
4,2,4,"Bài 2: Ô nhiễm, xói mòn đất và bảo vệ môi trường đất (tiết 2)"
5,3,5,"Bài 2: Ô nhiễm, xói mòn đất và bảo vệ môi trường đất (tiết 3)"
6,3,6,Bài 3: Hỗn hợp và dung dịch (tiết 1)
7,4,7,Bài 3: Hỗn hợp và dung dịch (tiết 2)
8,4,8,"Bài 4: Đặc điểm của chất ở trạng thái rắn, lỏng, khí. sự biến đổi trạng thái của chất (tiết 1)"
9,5,9,"Bài 4: Đặc điểm của chất ở trạng thái rắn, lỏng, khí. sự biến đổi trạng thái của chất (tiết 2)"
10,5,10,Bài 5: Sự biến đổi hoá học của chất (tiết 1)
11,6,11,Bài 5: Sự biến đổi hoá học của chất (tiết 2)
12,6,12,Bài 6: Ôn tập chủ đề chất
13,7,13,Bài 7: Vai trò của năng lượng (tiết 1)
14,7,14,Bài 7: Vai trò của năng lượng (tiết 2)
15,8,15,Bài 8: Sử dụng năng lượng điện (tiết 1)
16,8,16,Bài 8: Sử dụng năng lượng điện (tiết 2)
17,9,17,Bài 9: Mạch điện đơn giản. vật dẫn điện và vật cách điện (tiết 1)
18,9,18,Ôn tập giữa hk1
19,10,19,Bài 9: Mạch điện đơn giản. vật dẫn điện và vật cách điện (tiết 2)
20,10,20,Bài 10: Năng lượng chất đốt (tiết 1)
21,11,21,Bài 10: Năng lượng chất đốt (tiết 2)
22,11,22,"Bài 11: Sử dụng năng lượng mặt trời, năng lượng gió, năng lượng nước chảy (tiết 1)"
23,12,23,"Bài 11: Sử dụng năng lượng mặt trời, năng lượng gió, năng lượng nước chảy (tiết 2)"
24,12,24,"Bài 11: Sử dụng năng lượng mặt trời, năng lượng gió, năng lượng nước chảy (tiết 3)"
25,13,25,Bài 12: Ôn tập chủ đề năng lượng
26,13,26,Bài 13: Sinh sản của thực vật có hoa (tiết 1)
27,14,27,Bài 13: Sinh sản của thực vật có hoa (tiết 2)
28,14,28,Bài 14: Sự phát triển của cây con (tiết 1)
29,15,29,Bài 14: Sự phát triển của cây con (tiết 2)
30,15,30,Bài 14: Sự phát triển của cây con (tiết 3)
31,16,31,Bài 15: Sinh sản của động vật (tiết 1)
